,product_title,product_category,review_body,review_headline,star_rating,total_votes,word_length
261,Samsung Galaxy Note 3 S-View Wallet Cover Folio Case,Wireless,"Cool cover. I really like how it fits the phone. You take the original back case off of the phone and then this one snaps on.  Only problem is that I am worrked it may break along the seam. Other than that, it is good.",Cool cover. I really like how it fits the ...,5,0,46
263,"Thync Calm and Energy Wearable, Limited Edition",Wireless,"I am unable to use it sine I do not have a iPhone. So, I will be returning it shortly.",I am unable to use it sine I do not ...,3,6,20
268,"LG G3 Case, ULAK [3 in 1 Shield] Shock Absorbing Case with Hybrid 3in1 Cover Soft silicone + Hard PC Material Design Case for LG G3 (5.5"" inch) 2014 Release (Blue/Green Wave)",Wireless,"It's a nice design, nice colors, but it does add a significant amount of bulk. And it doesn't feel like the front and back pieces lock securely. It feels like if I were to drop my phone the case would fall apart.<br />I wouldn't buy this product again.",Average,2,0,48
271,GreatShield iSlide Slim-Fit PolyCarbonate Hard Case for Samsung Galaxy S4 S IV,Wireless,"True to color. And the best part is its made out of a good material. It's very durable. I always drop my phone, so this case helps me many times so I didn't have to get a new phone.",And the best part is its made out of a good material,4,1,39
273,"Anker 60W 6-Port USB Wall Charger, PowerPort 6 for iPhone X/ 8/ 7 / 6s / Plus, iPad Pro / Air 2 / mini/ iPod, Galaxy S7 / S6 / Edge / Plus, Note 5 / 4, LG, Nexus, HTC and More",Wireless,"Have bought several of these now, they're awesome. I travel with one, use another in the car when several of us are traveling (car has a AC plugin), have one at my desk, nightstand, and now in my living room.",they're awesome. I travel with one,5,0,40
274,New 1650mAh Battery for Samsung SGH-i897 SGH-i917 D700,Wireless,"Delivery was quick; however, I almost sent it back because it would not charge at all.  I used every charger/cord combo I could find in our house (believe me that is a lot), and just before I gave up, it took the charge and has performed well since. I looked at user reviews for cheaper units, and decided to pay more for this one to get a better product with the Samsung name, model, etc, so I was a little disappointed at first. I did find it odd that the manufacturing date of 2010.08.13 was older than the one that came in my phone 2010.10.27, but now that it works, I guess I'm OK with it.",Its' OK,3,0,117
275,"iPhone 6s Plus Case, JETech Apple iPhone 6/6s Plus Case Shock-Absorption Bumper and Anti-Scratch Clear Back for iPhone 6s 6 Plus 5.5 Inch",Wireless,"Really, really happy with this case, especially for the price paid. It slips on easily and stays on snugly, while still giving my iPhone that sleek feel. Love it!",Very pleased,5,0,29
277,Metra Speaker Harness for Select GM Vehicles,Wireless,"Does not fit a 1995 Blazer 2 door. Both the Amazon car checker and Crutchfield showed this was correct. The correct one for a 1995 Blazer 2 door is Metra 72-4500, they fit the door speakers and the rear quarter panel 6 x 9 speakers. I thought maybe they would fit the dash speakers, they do not fit there either. FYI.",Does not fit 1995 Blazer,3,0,61
278,Vehicle Car GPS Tracker TK103B With Remote Control GSM Alarm SD Card Slot Anti-theft Realtime Tracker Gps103b for GSM GPRS GPS System Tracking Device,Wireless,the gps103b is not working as an alarm. it is responding to sms request but not  to key fob or any input from sensors.,the gps103b is not working as an alarm. it ...,1,0,25
281,ZAGG Case Friendly InvisibleShield Original for iPhone 6 Plus,Wireless,"I bought my glass screen protector, amd it is really disappointing. I don't do things that are particularly hard on phones, just normal adult use and my first one cracked within weeks. I got a replacement for the $5.99 shipping charge, and within weeks, it is cracked in multiple places again. The phone is never without a case either for protection from falls and such. The only conclusion I can draw is the protector itself is flawed in some way","I bought my glass screen protector, amd it is ...",2,0,80
282,"Galaxy S3 Case, S3 Case - ULAK [ Shock Resistant Series ] Hybrid Rubber Case Cover for Samsung Galaxy S3 III i9300 3in1 Hard Plastic +Soft Silicone (Wave-Black Silicone)",Wireless,"Love this case I am even gonna look and see if they h ave any other styles, seems very durable as I very rarely drop my phone but the other day I stood up to greet someone forgetting my phone was on my lap and it fell on to concrete, everything A-Okay !!!!!  I would recommend this case for the simple fact I have been very happy with it and it survived the fall.",Would Recommend !,5,0,75
286,BW 7 inch High Resolution 800*480 TFT Color LCD Car Rear View Camera Monitor Support Rotating The Screen and 2 AV Inputs,Wireless,"The unit I received appeared to be refurbished, as there was no plastic film on the screen and the screen had some minor mars and scratches.  I could have lived with that; however the unit kept randomly turning itself off.  I checked all the connections, and they were tight.  So I am returning it for a replacement, which I hope will function properly.",Appeared Refurbished & Kept Turning Itself Off,2,0,66
287,Cottagecutz Mini Die-Frog 1.2x1.5,Wireless,"I make and sell greeting cards to benefit our local library, and this Cottage Cutz two-piece mini frog die looks cute on my favorite anniversary card.  It would also work well on children's birthday cards.<br /><br />I used 80 lb. card stock to cut this die on my Sizzix Grand Calibur machine,<br /><br />Please see customer image for an example of an A7 (5&#34; x 7&#34;) anniversary card that I made with this die.  The castle die is made by Quick Kutz and the cat tails are cut from another Cottage Cutz die, &#34;Mallard Ducks w/ Cats-tail.&#34;",A cute little two-piece die,4,0,99
290,"iGotTech iPhone 6 Plus and 6s Plus Tempered Glass Screen Protector (5.5 Inch ONLY), Edge to Edge Ballistic Glass, Cell Phone Touchscreen Accuracy",Wireless,"If you're in doubt to purchase this, don't be! Order it!  I had my iPhone 6+ mounted on my motorcycle - it happened to pop out of the holder it was in, while I was moving.  I guess it was the vibration.  Irregardless, it landed on concrete in the middle of a busy intersection. After turning around to go retrieve it, I watched it being driven over by 4 cars.  There is not one scratch on my phone.  The screen did not break/crack.  I was so relieved when I got it back - words cannot describe.",Cars can drive over your without a scratch!,5,0,102
291,"Galaxy Note Edge Case,Samsung Galaxy Note Edge Case, Combo Rugged Shell Cover Holster with Built-in Kickstand and Holster Locking Belt Clip Black + Circle(TM) Stylus Touch Screen Pen",Wireless,"Was just what my husband needed, he just broke the screen on his phone so this is a life saver.","Was just what my husband needed, he just broke ...",5,0,20
293,"Aduro U-Grip Plus Universal Bike Mount - for Motorcycle, Handlebar, Roll Bar, for all Android Smartphones, iPhone 6 6s 7 Plus 5 5s 5c and GPS Holder",Wireless,Love this! I Have been using this holder for my IPhone 6 while riding my bike for the past 2 months or so. I ride on paved streets and crushed gravel bike paths and it works great..my phone stays in place solidly and is easy to use. I definitely recommend this product!,Aduro U- grip plus holder,5,0,52
294,"Samsung Genuine Fast Charge USB-C 15W Wall Charger - Black- Galaxy Note8, Galaxy S8, and Galaxy S8+ Inbox Replacement - Retail Packaging",Wireless,"i bought this charger for note 4, i am fully satisfied with this charger, its same like original one which one come with the phone, charge so fast like original one, and phone show that on screen its adaptive fast charger, nothing difference then original one. highly recommended.",Great Charger,5,0,48
295,"Bolse® [Apple MFi Certified] 6 Feet / 1.8m Extra Long Cloth Jacketed Tangle-Free USB 2.0 A to 8 Pin Apple Lightning Cable for iPhone 6, 5, 5s, iPad 4, iPad mini, iPod nano 7, iPod 5G (Black/Hot Pink)",Wireless,Love this. I must have broken a million apple chargers. I've had this for months now and it hasn't broken.I love the length. I need to buy another one for my car!,The best,5,0,32
296,"Blimark® Noise Cancelling Stereo Wireless Bluetooth Earbuds Headphones Headsets Sports Running Gym Hiking Jogger Exercise Earphones With Microphone for iPhone 6, 6 Plus, 5 5c 5s 4 and Android",Wireless,"These headphones really deliver! Being on the go all the time, having a durable, lightweight, and wireless headset was very high on my priority list. After doing some research, and reading the many positive reviews, I decided to try these Blimark Bluetooth earbuds, and I was very happy with my decision!<br /><br />After receiving them promptly, I was immediately impressed by the overall quality of the packaging and materials, and the sound was extremely impressive as well. Even though the bass is a bit subtle and perhaps not as deep as some over the ear or higher quality headsets, these earbuds still create the perfect undertones to those hot and heavy dance beats!<br /><br />They are excellent at noise cancellation as well, allowing the music to be super focused with the perfect level of sound. The comfortable fit allows them to fit snug and very close to your ear, making them great for working out, running, or even dancing. I have been using them for several weeks now, and I can honestly say that I will not be using any other kind for quite some time! If you’re looking to purchase a pair of great wireless headphones without breaking the bank, this is the set to get!","If you’re looking to purchase a pair of great wireless headphones without breaking the bank, this is the set to get!",5,0,207
297,MagicMobile Galaxy S6 Triple Defender Case,Wireless,I like this case. I was looking for a case that was not bulky and i could easily grip. With this case i can get to the phone unlock it with my fingerprint and scroll better. I found that it fits really good in my hand when im using it. the rubber is not thick and all around fits nicely on my phone. One of the good parts of getting this case it came with a  screen protector. Fits goods and didn't take away from the sensitivity. I love the color it is just as pictured.,Very good case for galaxy S6!,5,0,97
299,"Luxury Air Vent Car Mount - Universal Smartphone / Mobile Phone Holder by enviCAR - Compatible with iPhone 7, 7 Plus, 6, 6S, Se | 6 Plus, 6S Plus, iPhone 5, 5S | Galaxy S5, S6, S7, S7 Edge and Others",Wireless,"Device holder is awesome, holds my phone securely with no shaking.  Thanks a lot guys.  Great product :)",Five Stars,5,0,20
304,Orient ER27009B Men's Symphony Automatic Stainless Steel Black Dial Mechanical Watch,Watches,"Beautiful watch face.  The band looks nice all around.  The links do make that squeaky cheapo noise when you swing it back and forth on your wrist which can be embarrassing in front of watch enthusiasts.  However, to the naked eye from afar, you can't tell the links are cheap or folded because it is well polished and brushed and the folds are pretty tight for the most part.<br /><br />I love the new member of my collection and it looks great.  I've had it for about a week and so far it has kept good time despite day 1 which is typical of a new mechanical watch","Beautiful face, but cheap sounding links",4,0,112
305,Casio Men's GW-9400BJ-1JF G-Shock Master of G Rangeman Digital Solar Black Carbon Fiber Insert Watch,Watches,"i love this watch for my purpose, about the people complaining should of done their research better before buying. dumb people.",No complaints,5,0,21
307,INFANTRY Mens Night Vision Analog Quartz Wrist Watch with Nato Nylon Watchband-Red.,Watches,I was about to buy this thinking it was a Swiss Army Infantry watch-- the description uses the words infantry and army--- when I realized it must be a fraud for $12.00. This should not be offered on Amazon-- it is designed to confuse consumers.,I was about to buy this thinking it was a ...,1,5,45
308,G-Shock Men's Grey Sport Watch,Watches,Watch is perfect. Rugged with the metal &#34;Bull Bars&#34;. The red accents are a great touch and I get compliments when wearing it. If you are worried about being able to read this in sunlight or in the dark don't! The LED ilumination works great! I might even get this in a different color for my next G-Shock purchase!,Perfect watch!,5,2,59
309,Heiden Quad Watch Winder in Black Leather,Watches,Great quality and build.<br />The motors are really silent.<br />After fiddling with the settings my watches are always charged and ready to use.,Great quality and build,4,0,23
310,Fossil Women's ES3621 Serena Crystal-Accented Two-Tone Stainless Steel Watch,Watches,"The watch was pretty much as it was described and how it looks. I really like the simplicity of it and it looks pretty amazing. It is slightly too big, so I have yet to adjust it, but I'm glad it's too big rather than too small. The weight is good which is what I was hoping for. Very satisfied with this purchase. I was slightly on the fence getting this one because of the previous fossil watch I had, which by some time, did have some gems fall off from ring around the numbers, but so far so good with this one! Excuse my bad lighting for my pic.",Satisfied,4,2,110
311,Casio General Men's Watches Sporty Digital AE-2000W-1AVDF - WW,Watches,"I bought this watch on 2013, the screen had a problem 10 months later. I sent the watch back to Casio Service Center in LA, they sent to me a replacement new watch. Last week, less than one year after I received the new watch, the battery is out.  I went to a shop to replace the battery. Then the A button of the watch do not working, so I could not change the time and other settings. I do not think this watch is a good product. Do not buy it.",I do not think this watch is a good product. Do not buy it,1,0,93
314,Casio - G-Shock - Gulfmaster - Black - GWN1000C-1A,Watches,"Had it for several weeks now and I love it - reliable, functional, wears easy, not too heavy.  I also get a lot of comments on it - great watch!",Worth it - love it,5,3,31
315,Invicta Men's 3329 Force Collection Lefty Watch,Watches,This one is different from the rest of my Invictas. I like the big watches but this one gave a classy more defined look for the craftsmanship. All of the colors compliment each other. It all starts from the stitching of the band.  Very nice watch.,This is when different is good.,5,0,47
316,Seiko Women's SUT068 Dress Solar Classic Diamond-Accented Two-Tone Stainless Steel Watch,Watches,"The watch is attractive and easy to read, except for the date. The little diamonds are very, very tiny. All in all, I'm happy with it.",Thewatch is attractive and easy to read,4,1,26
319,Nixon Men's Geo Volt Sentry Stainless Steel Watch with Link Bracelet,Watches,"Looks great and love to wear this watch.  Only negative thing is due to its blue/black colors, it is difficult to read in average or low light.  Good thing for me, I wear a watch for looks and not really for telling the time.",Very stylish,4,0,46
320,Nautica Men's N14699G BFD 101 Chrono Classic Stainless Steel Watch with Brown Band,Watches,I really like this watch. It has a great face that contrasts nicely with the white numerals. Keeps time accurately. Overall very pleased. I really like its distinctive look. It's also durable and water proof. I leave it on when I go kayaking or out on the boat fishing.,Good looking watch,4,1,49
321,HDE Watch Link Pin Remover Band Strap Repair Tool Kit for Watchmakers with Pack of 3 Extra Pins,Watches,Works great but the watch a used it on was slim so I had to use a quarter to rase it up the right height,Works great but the watch a used it on was slim ...,4,0,25
323,"Movado Men's 0606545 ""Museum"" Perforated Black-Rubber Strap Sport Watch",Watches,Absolutely LOVE this watch! Amazon prime saved me over $400 after tax from the store prices. Between the great buy and the Coolness of this watch it was an amazing purchase. I can't stop looking at it. Movado is an excellent brand. Time keeping is perfect. Quality is perfect.,Great Buy!,5,1,49
325,Szanto Men's SZ 2001 2000 Series Classic Vintage-Inspired Stainless Steel Watch with Pebbled Leather Band,Watches,"This was a watch I bought during a quick sale thing, so it was cheaper than normal.  I bought it as a daily wear.  It's really a decent watch for the price; a retro look with a modern movement.",This was awatch I bought during a quick sale thing,5,1,41
327,Casio F-108WH-2AEF Mens Blue Digital Watch,Watches,Thought that I read somewhere that you could swim with it. It does not however bear the 50M Water Resistance designation.,Thought that I read somewhere that you could swim with ...,3,0,21
329,Invicta Men's 8928OB Pro Diver Gold Stainless Steel Two-Tone Automatic Watch,Watches,"This watch is a very beautiful time piece. This also could be an alternative choice to a Rolex submariner. It also has the same features as a Rolex submariner but it's not as good as a Rolex watch but darn close.<br /><br />Take good care of this watch if you get one because it has gold plating on it. This watch is 'Not' a sport watch.<br /><br />This watch features<br />-Rotating timer dial<br />-All stainless steel (kinda heavy)<br />-Glow in the dark<br />-Water resistant to 200 meters (600 feet)<br />-Automatic winding (from wrist movements)<br />-Shows date<br />-Very beautiful<br /><br />Sizeing isn't difficult, I sized mine by using a thumbtack and a hammer to tap the pins out of the band and I tapped a pin back into the band after removing three band links. If you don't know what your doing then just take it to s jewelry store so they can size it for you",Very Impressive,5,2,156
330,BOS Men's Automatic self-wind mechanical Pointer Skeleton Watch Black Dial Stainless Steel Band 9008,Watches,"This is a beautiful watch. I love the look and feel of it, and I get complimented on it all the time. If that were the entirety of the story, this would be a 5 star review.<br /><br />Unfortunately, the most important part of this watch, the functionality, has some issues. Despite this being an automatic winding watch, it doesn't always stay wound. I have had days where I had to re-wind it before the end of the day. Most days however, it does last through the day. I just have to wind it and set the time again in the morning. Other mechanical self winding watches I own will in fact not need to be wound again until I stop wearing them for a full day. In addition, I can't always get the spring fully wound before it will start clicking and the spring skips off the winding gear.<br /><br />If I hadn't been so lazy, I would have returned this watch. Unfortunately, I missed the 30 day return window. So now I'm stuck with an only mostly working but beautiful watch. I guess that makes it kinda like a fashion model. When I think of it that way, it's not quite so disappointing.",The epitome of form before function.,3,3,205
332,INFANTRY Mens 50mm Big Face Military Tactical Analog Digital Sport Wrist Watch Black Silicone Band,Watches,"I was very apprehensive about buying a 28 dollar watch online, but it looked so much like the 400 dollar Invicta Coalition forces watch I was wanting that I went for it.  I was very pleased when it arrived.  It is a BIG, heavy, sharp looking watch and I could not be happier. I am sure I will be purchasing the solid black one as well",Surpassed my expectations,5,1,68
333,BUREI Dress Women's Minimalist Wrist Watches with Date Analog Quartz Stainless Steel and Ultra Slim Dial,Watches,"[[VIDEOID:cc599be25462207f860e42621171d7e1]]This watch has an understated clean and classy design.  It looks elegant. It has a stainless steel body and genuine leather band.  The band maximum width 7.5\\"" (last hole), if needed additional holes could be made to make it as wide as 8\\"".<br /><br />The face of the watch is 1 3/16\\"" wide and the watch is 1/4\\"" thick. The back of the watch states it has Japanese quartz movement.  The watch is water resistant to rain and splashing but cannot be submerged into water.<br /><br />This watch is made in China but includes an English manual. The manual covers several watches so it is a somewhat confusing as it refers to self-winding watches as well as quartz watches like this one.  The third page in the manual can be used as a guide to the watch adjustment method.  I found the controls to be simple, everything is controlled by the position of the crown. It can be pulled out into two position, the first position allows change the day of the month, the second position moves the arms.<br /><br />Overall, this is a very attractive classy looking watch.  It comes in attractive package, the box has a pillow and include a gift bag.<br /><br />This watch is provided by BUREI for review.  Getting a review product does not influence what I say, I leave critical reviews as well as positive reviews like this one.<br /><br />Ali Julia review",A classy looking watch,5,5,246
335,Domire Fashion Accessories Trial Order New Quartz Fashion Weave Wrap Around Leather Bracelet Lady Woman Butterfly Wrist Watch,Watches,"Love this watch, I just received it yesterday it looks really nice on my  wrist, my friends and family love it.",Love this watch,5,0,22
338,Casio Men's Slim Solar Multi-Function Analog-Digital Watch,Watches,This is now my everyday watch.  Easy to read with lots of features.  Light  and functional.  You can not beat the price.  It is clean in detail and I love the watch.,Easy to read with lots of features,4,0,37
340,Casio Men's GW2310FB-1CR G-Shock Shock Resistant Multifunction Watch,Watches,"Watch looks amazing and the features are second to none, but....the watch is small.  I have a PAW-5000 which dwarfs it.  I had to look at the box to make sure I didn't get a woman's watch.  No joke, the band on my, average at best, sized wrist almost couldn't accommodate it.  Probably had 1.5 inch left on the band after I put it on.  Make this Man-size and it would fantastic.",Size of a woman's watch,3,0,77
342,Cerentino Women's CR106-TQ  Turquoise Silicone Rubber Rhinestones Watch,Watches,So far so good. I have only had this watch a few weeks & so far it is still working. Style is really cute exactly as pictured,Really cute watch,4,1,27
346,Motorola Moto 360 Modern Timepiece Smart Watch - Black Leather 00418NARTL,Watches,"Great product . Love the continous innovation in this field and given the price-tag of $149, this product is a steal . Bought it 1 week back . Battery is satisfactory . Charges fast . Discharges within 12-15 hours . But it has a touch screen, so naturally its going to eat-up battery. For entry level android-wear, pretty decent","Decent price-tag, more than average product",4,0,59
347,Ingersoll Men's IN1824CR Monticello Fine Automatic Timepiece Cream Dial Watch,Watches,"A very beautul and well-made pilots watch. Highly detailed dial,as well. The movement is tack- on for 24 hours but if you are not a ditch digger,wind it 20 revs  daily.",A very beautul and well-made pilots watch. Highly detailed ...,5,0,32
348,Lucien Piccard Men's 11576-YG-01 Clariden Black Textured Dial Watch,Watches,"Comfortable, looks great, very lightweight.The band is a little on the short side, but it's usable and not a big deal to replace.",Great looking watch!,5,1,23
350,"Watch Case Press with 12 Nylon Dies, Watch Case Closer Set",Watches,This press is very well constructed and sturdy. The different dies are easily interchangeable. A good tool for watches and miniature work.,Sturdy and well constructed,5,0,22
354,G-SHOCK Men's GA-100 Neon Highlights Watch,Watches,Watch kicks ass. Upon putting on this watch you will grow a full beard and be able to tame a pack of wolves by looking at them. 8/10 Only gripe is that I wish the back light was a tad better.,8/10 Only gripe is that I wish the back light was a tad better.,5,0,41
355,Voguestrap TX046801XL Allstrap 16-20mm Brown Extra-Long-Length Fits Fast-Wrap Expedition Watchband,Watches,"It's a good value, and a good functional watch strap.  It's super wide though, and takes more space on the wrist than I'd like.","It's a good value, and a good functional watch strap",3,0,25
356,Seiko Men's SNKK27 Seiko 5 Stainless Steel Automatic Watch,Watches,Loved the watch; it just did not work supposedly self-winding; tried all possible motions to cause the winder clearly visible from the rear of the watch; no luck,Wish the seller would furnish a model that works.,5,0,28
357,Invicta Men's 8926OB Pro Diver Stainless Steel Automatic Watch with Link Bracelet,Watches,"Alrighty, after seeking out the ultimate low-profile, ultra water resistant, mechanical watch with a rotating bezel and date for less than $100, I settled on this.<br /><br />It looks much like the famous Rolex Submariner, and performs similarly.<br /><br />However, after about a year of use now, the paint on the bezel is chipping, and after a decent smack on the hood of a car the crystal has cracked and all but shattered.<br /><br />It keeps time fairly well, gaining about 15 seconds per day, without taking it to a healer for fine tuning.","Worth the money, be careful with the glass.",3,0,94
360,Seiko Men's White Dial Brown Leather Easy Reader Solar Calendar Watch,Watches,"I thought it looked beautiful.  My boyfriend loved it.  It's only been a few days, so I can't comment on durability.  But, I didn't have some of the problems mentioned in other reviews--the little dots around the outside glowed like they were supposed to, it was easy to set including the date, the band was fine and long enough even though my boyfriend wears it loose.  Great price too--I see them in stores for nearly twice what I paid.",I thought it looked beautiful. My boyfriend loved it,5,0,83
361,Michael Kors Womens MK5145 - Runway Chronograph,Watches,More beautiful in person. High quality! Looks understated but so sophisticated! It was a gift for my mother and she loved it!,Beautiful and sophisticated,5,0,22
362,Armitron Sport Women's 25/6416 Easy To Read Dial Resin Strap Watch,Watches,It's a nice watch but if you have a large arm it will not fit  well.  does good under water I use when I go to water aerobic to keep tack of my time,Sport watch,3,0,36
363,Lucien Piccard Men's 11577-RG-02S Stockhorn Silver Textured Dial Brown Leather Watch,Watches,Beautiful watch! Looks better on the wrist than in the picture.  Could not have been more pleased. A great addition to my collection.,Beautiful watch! Looks better on the wrist than in ...,5,0,24
366,Tissot Women's T0492103303300 PR 100 Gold-Tone Silver Dial Watch,Watches,I like the watch!  I had its predecessor and enjoyed it until all the numbers started to fall off.  Hope that does not happen to this one.  The numbers run together it's sometimes difficult to distinguish the time.  I'm adjusting to it.  Like the new clasp.,I like the watch,4,1,51
367,CASIO BABY-G (BG-6900SG-8JF) GLITTER DIAL SERIES LADY'S WATCH JAPANESE MODEL 2014 JULY RELEASED,Watches,"I have many Baby-G's, but none have gotten as much attention and compliments as this one. The glitter pops out at everyone and the silver makes it look feminine and sleek. I paid $120 for it, wayy more than I usually pay for Baby-G's, but I think it was worth it, especially since it's a special Japanese model. Probably won't see many people with this watch making it pretty unique. I like the background light is a light blue color, goes well with the color of the watch.",Sparkly and nice,5,0,88
370,Citizen Men's AT8020-54L Blue Angels Stainless Steel Eco-Drive Dress Watch,Watches,"The watch as expected was an amazing product from citizen, however the the cover was in a damaged condition which was quite upsetting since I was planning to gift this to some one.",The watch as expected was an amazing product from citizen,5,1,33
372,Outop Wholesale Lot of 5pcs Womens Girls Butterfly Bracelet Wrist Watches,Watches,"These were purchased for my daughter and her friend, but I liked them enough that I kept one for myself as well!",Fun and inexpensive,5,0,22
373,Timex Kids' T7B9829J IronKids Translucent Blue Sport Watch,Watches,"This is junk.  Why would you name a watch an ironkid watch if it isn't made for swimming (last time I checked an ironman consisted of swim, bike and run)?  It claims it is water resistant but the watch leaks and it will die if your kid wears it in a pool.  Don't waste your money.",Leaks water - total junk,1,2,59
376,Armitron Men's Black Sunray Dial Silvertone Bracelet Watch,Watches,My husband like it but he would have liked the dial face to be a little smaller. He is not used to the bigger face but getting used to it. The picture product was hard to tell about the dial face and don't think it mention about the dial face being bigger than normal. Besides that everything else is really well made.,My husband like it but he would have liked the dial face ...,4,0,62
378,"Topwell Mens Wood watches, Date Time 24hours Wooden watch with Round Multi-Eyed QUARTZ Wrist Watch for Gift",Watches,"This is a very nice watch, i love that it's made of wood but black in color. The face is big and has three silver, decorative yet functional dials. It's extremely lightweight and comfortable to wear. It's so lightweight you could actually forget you're wearing it. The wood is very smooth and the semi-matte finish is very dressy.<br />The links move easily and is worn without catching or squeezing skin/hair. It's easy to adjust so it will fit a variety of  wrist sizesI love that it's water proof because although very dressy it can be worn for every day use.<br />This would make a great gift for any man in your life.<br />I received this product complimentary in exchange for my honest opinion but the opinion expressed is all my own.",amazing -- perfect gift,5,4,132
381,Armitron Sport Women's 25/6422BLK Easy to Read Dial Black Resin Strap Watch,Watches,"So pretty, strap is so soft, easy pliable rubber material. Unfortunately, bezel does not turn. But I recommend this for everyday nursing use.","So pretty, strap is so soft",5,0,23
382,Swiss Legend Men's 10068-03 Commander II Analog Display Swiss Quartz Blue Watch,Watches,The size and thickness is Huge. the color is eye Popping.The band is durable and ridged . the only problem I have is that it doesn't glow to mush in the dark. but I like it,but I like it,4,2,36
384,LuckyStore 14mm 5X Watch Band Stainless Steel Spring Bars Strap Link Pin Watchmaker New,Watches,"This is exactly what I was looking for!  I fixed my watch band and haven't been happier!  I didn't need 5, but the extra 4 may come in handy.",14mm watch pin,5,0,31
386,"Seiko Men's SNKL43 ""Seiko 5"" Stainless Steel Automatic Watch",Watches,"A great automatic, but I give it 4 stars for being too conservative with its small size and the blue is dark and more of a navy color unless light is shining on it and reflecting. Other than that, like all based seiko 5s, it looks great on a Nato strap. I have this bad boy setup on a brown leather strap with a deployable clasp which looks very similar to the Omega Seamaster Aqua Terra. A great watch that can be worn in almost any occasion except when swimming",Good seiko 5,4,0,90
387,Invicta Men's 14640 I-Force Analog Display Japanese Quartz Black Watch,Watches,"Disappointed by the huge size of it, although yes they say in the specs it's a 52&#34; etc...<br />Sent it back. The taxes and p&p cost made me pay for it again.",Disappointed by the huge size of it,1,0,32
390,GUESS U17531G1 - Bold and Sporty Watch Silver,Watches,"first:<br />i received watch in good condition, however he battery was not working and i changed the battery<br />second:<br />i tried the watch to my hand but unfortunately was not amazing, it is for old ppl more than youth. i am looking to change the model .<br />i dont know if i can change irt from guess agent in Scotland/Edinburgh or not.","i received watch in good condition, however he battery was not working and ...",2,0,62
391,Armitron Men's 20/5048 Day/Date Function Dial Croco-Grain Leather Strap Watch,Watches,"This is a good looking men's watch that would go well with most outfits, though it's leather strap pushes it to a more dressy watch. It's a simple watch with a day and date window. It is luminescent on the hour marks but not on the watch hands themselves, which is a little weird.<br /><br />I would be curious to see how long the battery lasts. Aside from the watch band wearing out, that would be the weakest part of this watch in the long term.",Great Watch for the Price,4,2,86
392,Stuhrling Original Men's 238.321K43 Ascot Newberry Analog Swiss Quartz Brown Leather Watch,Watches,It's a great looking product. One of the best watches I have ever seen. The quality is mediocre but that's alright. Just keep it out of water as much as possible and the leather should hold up alright.,"Great looks, medium quality",3,3,38
396,Hadley-Roma Men's MSM881RB-170 17-mm Brown Oil-Tan Leather Watch Strap,Watches,This is my 3rd Hadley Roma leather watch band. Others lasted 3+ years. Great quality and design at a good price.,Great leather watch band.,5,0,21
400,Dasone D0014 Women's Quartz White Ceramic Watches with Colorful Diamond Bezel,Watches,I got this watch on June 8th . I wore it for three weeks and the watch band fell apart. I called Amazon about the repair and was told  I had to call the seller as the warranty does not cover the band. I have never  had a ceramic watch band thus  I  have never had this problem. The watch is beautiful but it servers no purpose if the band is no good. I will try to call the seller for repair.,poor band,3,0,86
402,Armitron Sport Men's 49mm Digital Chronograph Black Strap Watch,Watches,This product really surpassed my expectation. It was able to perform very well for me. I used it for my US Army Basic training and AIT. It never disappointed me and it was able to remain sturdy even after a series of rugged use. I highly recommend this product.,Cheap and Very Reliable Product,5,0,49
404,Geneva Cat Face With Ears Watch - Mint!,Watches,"It is so cheap and gaudy, I will never wear it.  It was misrepresented in the picture and description. The picture is darling but the real thing is beyond cheap.  It will go into the thrift shop donation pile.",Ugly !,1,0,41
414,Invicta Men's 17946 Russian Diver Analog Display Swiss Quartz Black Watch,Watches,"I'm late getting to the party, but after discovering Invicta watches I just can't get enough of them. There is a watch for every situation from dress to casual. After acquiring several of these in a short time, I can honestly say that I have not been let down in style or performance. I don't think I'll ever buy another watch that isn't an Invicta!!!!!","I'm late getting to the party, but after discovering ...",5,1,65
415,Skagen Men's Ancher Silvertone Watch with Genuine Brown Leather Strap & Blue Dial,Watches,"The photo provided of this watch badly distorts the color of the band, which is in fact much lighter than pictured. It is so light, in fact, that it practically blends into my skin when wearing it. But, I can just replace it for a few bucks, right? Wrong. Skagen apparently uses a proprietary design for their watch bands, and they also don't sell replacements to third party dealers. As far as I can gather I would have to send the watch to them and pay whatever sum they demand just to get a reasonable-looking band.<br /><br />Save yourself the aggravation: Do not buy this watch, or any other produced by Skagen for that matter.","Terrible band, and don't think you can replace it",1,5,115
416,Skagen Women's SKW2184 Leonora Stainless Steel Mesh Watch,Watches,"Beautiful watch. Love Skagen watches, hope they'll keep up the quality now the firm's sold. Have had several compliments on the watch.",Beautifulwatch. Love Skagen watches,5,0,22
417,Akribos XXIV Women's AK765YG Impeccable Gold-Tone Stainless Steel Watch,Watches,"Don't buy this watch.  It looked fine when it arrived, but back of watch has already begun to corrode.  The wrist band turns my wrist green.",Buy this watch if you want a green wrist,1,0,28
